line1,line2,line3,line4,line5,line6,line8,line9,line14,line16
纺织城,草滩站,鱼化寨,西安北站,创新港,西安南站,山门口,纺织城,贺韶,秦创原中心
半坡,红会医院北区站,丈八北路,元朔路,创新港东,西电科大南校区·未来之瞳,安化门,香王,港务大道,西咸大厦
浐河,西安北站,延平门,凤城十二路,翱翔小镇,西安国际医学中心,东仪路,灞柳二路,新寺,上林路
长乐坡,北苑,科技路,凤城九路,钓台,仁村,电视塔,田王,双寨,复兴大道北
万寿路,风城十路,太白南路,文景路,沣西文化公园,郭杜西,大唐不夜城,洪庆,奥体中心,西安国际足球中心
通化门,行政中心,吉祥村,行政中心,东马坊,西部大道（西太路口）,曲江池西,紫霞三路,北辰,细柳营
康复路,凤城五路,小寨,市中医院,高桥,造字台,寒窑,凤凰池,西安工大·武德路,沣东城市广场
朝阳门,市图书馆,大雁塔,常青路,文教园,丈八六路,新开门,鹦鹉寺公园,文景山公园,欢乐谷
五路口,大明宫西,北池头,百花村,欢乐谷,丈八四路,缪家寨,芷阳广场,西安北站,诗经里
北大街,龙首原,青龙寺,余家寨,镐京,丈八一路,植物园,西工程大·西科大（临潼校区）,渭河南,
洒金桥,安远门,延兴门,大明宫北,复兴大道南,省体育馆,马腾空,西花园,秦宫,
玉祥门,北大街,咸宁路,大明宫,斗门,木塔寺,东等驾坡,华清池,秦汉新城,
劳动路,钟楼,长乐公园,含元殿,王寺,甘家寨,西等驾坡,东三岔,长陵,
开远门,永宁门,通化门,西安站,阿房宫南,科技路,万寿南路,银桥大道,摆旗寨,
汉城路,南稍门,胡家庙,五路口,石桥立交,西北工业大学,韩森寨,秦陵西,艺术中心,
枣园,体育场,石家街,大差市,西窑头,大唐西市,万寿路,,空港新城,
皂河,小寨,辛家庙,和平门,汉城南路,安定门,幸福林带北,,机场西（T1、T2、T3）,
三桥,纬一街,广泰门,建筑科技大学·李家村,金光门,桥梓口,米家崖,,,
后卫寨,电视塔,桃花潭,西安科技大学,丰庆公园,广济街,广泰门,,,
沣东自贸园,三爻,浐灞中心,大雁塔,西北工业大学,钟楼,北辰东路,,,
上林路,凤栖原,香湖湾,大唐芙蓉园,边家村,大差市,井上村,,,
北槐,航天城,务庄,曲江池西,省人民医院·黄雁村,长乐门,余家寨,,,
沣河森林公园,韦曲南,国际港务区,金滹沱,南稍门,交通大学·兴庆宫,市第三医院,,,
陕西中医药大学,何家营,双寨,航天大道,文艺路,咸宁路,市图书馆,,,
白马河,常宁宫,新筑,飞天路,建筑科技大学·李家村,公园南路,霸城门,,,
陈杨寨,,保税区,东长安街,太乙路,万寿南路,大风阁,,,
安谷,,,神舟大道,雁翔路北口,卫星测控中心,红庙坡,,,
中华西路,,,航天东路,青龙寺,田家湾,景曜门,,,
宝泉路,,,航天新城,理工大曲江校区,穆将王,光化门,,,
咸阳西,,,,黄渠头,纺六路,白家口,,,
,,,,马腾空,纺二路,开远门,,,
,,,,月登阁,纺织城,土门,,,
,,,,雁鸣湖,,金光门,,,
,,,,西安东站（暂未开通）,,延平门,,,
,,,,,,科技二路,,,
,,,,,,木塔寺西,,,
,,,,,,省体育馆,,,
